period,small_scale_producers_kg,primary_producers_kg,total_fgr_deliveries_kg,source,verification_status
2020-Q1,3571.69,2150.02,5721.71,RBZ_FGR_PRESS_STATEMENT,Verified
2020-Q2,2478.12,2411.66,4889.78,RBZ_FGR_PRESS_STATEMENT,Verified
2020-Q3,1462.21,2576.51,4038.73,RBZ_FGR_PRESS_STATEMENT,Verified
2020-Q4,1801.88,2600.56,4402.44,RBZ_FGR_PRESS_STATEMENT,Verified
2021-Q1,1586.42,2391.36,3977.77,RBZ_FGR_PRESS_STATEMENT,Verified
2021-Q2,3214.77,2762.13,5976.9,RBZ_FGR_PRESS_STATEMENT,Verified
2021-Q3,6031.15,2913.36,8944.51,RBZ_FGR_PRESS_STATEMENT,Verified
2021-Q4,7638.27,3092.15,10730.42,RBZ_FGR_PRESS_STATEMENT,Verified
2022-Q1,4949,2746,7694,RBZ_Qaurterly Review,Verified
2022-Q2,5529.06,2752.24,8281.3,RBZ_Qaurterly Review,Verified
2022-Q3,6500,3722.9,10222.9,Derived-RBZ_Qaurterly Review,Verified
2022-Q4,6700,3471.5,10171.5,Derived-RBZ_Qaurterly Review,Verified
2023-Q1,5000,2708.93,7708.93,RBZ_Qaurterly Review,Verified
2023-Q2,4981.4,3005.54,7986.94,RBZ_Qaurterly Review,Verified
2023-Q3,5175,3392.94,8567.94,RBZ_Qaurterly Review,Verified
2023-Q4,4825.32,2815.49,7640.81,RBZ_Qaurterly Review,Verified
2024-Q1,2901.8,3143.07,6040,RBZ_Qaurterly Review,Verified
2024-Q2,4515.17,3224.26,8230.5,RBZ_Qaurterly Review,Verified
2024-Q3,7233.3,3188.3,10889.2,RBZ_Qaurterly Review,Verified
2024-Q4,9028.5,3185.5,12696.7,RBZ_Qaurterly Review,Verified
2025-Q1,8496.41,"2,725.60",8496.4,RBZ_Qaurterly Review,Verified
2025-Q2,"8,790.80","2,816.30",11607.1,RBZ_Qaurterly Review,Verified
2025-Q3,"9,967.50","2,911.00",14303.22,RBZ_Qaurterly Review,Verified
2025-Q4,10345.49,"4,385.38",14730.87,RBZ_Qaurterly Review,Verified
